2,1960,2nd,8,6,0
2,1961,2nd,6,8,0
2,1962,1st,11,3,0
2,1963,3rd,5,7,2
2,1964,2nd,7,7,0
2,1965,3rd,7,5,2
2,1966,1st,11,2,1
2,1967,2nd,9,5,0
2,1968,2nd,12,2,0
2,1969,2nd,11,3,0
2,1970,2nd,7,5,2
2,1971,1st,10,3,1
2,1972,2nd,8,6,0
2,1973,2nd,7,5,2
2,1974,3rd,5,9,0
2,1975,3rd,5,9,0
2,1976,4th,5,9,0
2,1977,5th,2,12,0
2,1978,5th,4,12,0
2,1979,5th,7,9,0
2,1980,3rd,8,8,0
2,1981,3rd,9,7,0
2,1982,11th,3,6,0
2,1983,5th,6,10,0
2,1984,4th,8,8,0
2,1985,5th,6,10,0
2,1986,2nd,10,6,0
2,1987,5th,4,11,0
2,1988,5th,4,11,1
2,1989,2nd,8,7,1
2,1990,2nd,11,5,0
2,1991,2nd,10,6,0
2,1992,2nd,10,6,0
2,1993,1st,11,5,0
2,1994,2nd,9,7,0
2,1995,1st,13,3,0
2,1996,2nd,9,7,0
2,1997,1st,13,3,0
2,1998,4th,7,9,0
2,1999,2nd,9,7,0
2,2000,3rd,7,9,0
2,2001,4th,6,10,0
2,2002,4th,8,8,0
2,2003,1st,13,3,0
2,2004,3rd,7,9,0
2,2005,2nd,10,6,0
2,2006,2nd,9,7,0
2,2007,3rd,4,12,0
2,2008,4th,2,14,0
2,2009,4th,4,12,0
2,2010,1st,10,6,0
2,2011,4th,7,9,0
2,2012,4th,2,14,0
2,2013,2nd,11,5,0
2,2014,2nd,9,7,0
2,2015,2nd,11,5,0
2,2016,1st,12,4,0
2,2017,1st,10,6,0
2,2018,1st,12,4,0
2,2019,1st,12,4,0
2,2020,1st,14,2,0
2,2021,1st,12,5,0
